File_Category,column_name,column_type
aggregatedseries,SeriesId,BIGINT
aggregatedseries,Sum,DOUBLE
aggregatedseries,Min,DOUBLE
aggregatedseries,Max,DOUBLE
aggregatedseries,ValueCount,INTEGER
aggregatedseries,StandardDeviation,DOUBLE
aggregatedseries,Mode,DOUBLE
aggregatedseries,Median,DOUBLE
aggregatedseries,FirstQuartile,DOUBLE
aggregatedseries,ThirdQuartile,DOUBLE
aggregatedseries,SeriesHash,VARCHAR
attribute,AttributeId,INTEGER
attribute,ClassId,INTEGER
attribute,Description,VARCHAR
attribute,InputMask,VARCHAR
attribute,EnumId,INTEGER
attribute,LangId,INTEGER
attribute,Name,VARCHAR
attributedata,AttributeId,INTEGER
attributedata,ObjectId,INTEGER
attributedata,Value,DOUBLE
category,CategoryId,INTEGER
category,ClassId,INTEGER
category,Name,VARCHAR
category,Rank,INTEGER
class,ClassGroupId,INTEGER
class,ClassId,INTEGER
class,LangId,INTEGER
class,Name,VARCHAR
class,InheritsFrom,INTEGER
classgroup,ClassGroupId,INTEGER
classgroup,LangId,INTEGER
classgroup,Name,VARCHAR
collection,ChildClassId,INTEGER
collection,CollectionId,INTEGER
collection,ComplementName,VARCHAR
collection,LangId,INTEGER
collection,Name,VARCHAR
collection,ParentClassId,INTEGER
collection,Rank,INTEGER
config,Element,VARCHAR
config,Value,VARCHAR
customcolumn,ClassId,INTEGER
customcolumn,ColumnId,INTEGER
customcolumn,Name,VARCHAR
customcolumn,Position,INTEGER
customcolumn,UniqueId,VARCHAR
dataFileId=0,SeriesId,BIGINT
dataFileId=0,PeriodId,INTEGER
dataFileId=0,Value,DOUBLE
dataFileId=0,EpochId,BIGINT
dataFileId=0,dataFileId,BIGINT
fullkeyinfo,KeyId,BIGINT
fullkeyinfo,PhaseId,INTEGER
fullkeyinfo,PhaseName,VARCHAR
fullkeyinfo,BandId,INTEGER
fullkeyinfo,PeriodTypeId,INTEGER
fullkeyinfo,PeriodTypeName,VARCHAR
fullkeyinfo,SeriesId,BIGINT
fullkeyinfo,DataFileId,INTEGER
fullkeyinfo,RowGroupIndex,INTEGER
fullkeyinfo,ParentObjectCategoryName,VARCHAR
fullkeyinfo,ParentObjectId,INTEGER
fullkeyinfo,ParentObjectName,VARCHAR
fullkeyinfo,ChildObjectCategoryName,VARCHAR
fullkeyinfo,ChildObjectId,INTEGER
fullkeyinfo,ChildObjectName,VARCHAR
fullkeyinfo,ParentClassId,INTEGER
fullkeyinfo,ParentClassLangId,INTEGER
fullkeyinfo,ParentClassName,VARCHAR
fullkeyinfo,CollectionId,INTEGER
fullkeyinfo,CollectionLangId,INTEGER
fullkeyinfo,CollectionName,VARCHAR
fullkeyinfo,ChildClassId,INTEGER
fullkeyinfo,ChildClassLangId,INTEGER
fullkeyinfo,ChildClassName,VARCHAR
fullkeyinfo,PropertyId,INTEGER
fullkeyinfo,PropertyEnumId,INTEGER
fullkeyinfo,PropertyLangId,INTEGER
fullkeyinfo,PropertyName,VARCHAR
fullkeyinfo,UnitId,INTEGER
fullkeyinfo,UnitValue,VARCHAR
fullkeyinfo,TimesliceId,INTEGER
fullkeyinfo,TimesliceName,VARCHAR
fullkeyinfo,ModelId,INTEGER
fullkeyinfo,ModelName,VARCHAR
fullkeyinfo,SampleId,INTEGER
fullkeyinfo,SampleName,VARCHAR
membershipinfo,MembershipId,INTEGER
membershipinfo,ParentObjectCategoryName,VARCHAR
membershipinfo,ParentObjectId,INTEGER
membershipinfo,ParentObjectName,VARCHAR
membershipinfo,ParentClassId,INTEGER
membershipinfo,ParentClassLangId,INTEGER
membershipinfo,ParentClassName,VARCHAR
membershipinfo,CollectionId,INTEGER
membershipinfo,CollectionLangId,INTEGER
membershipinfo,CollectionName,VARCHAR
membershipinfo,ChildObjectCategoryName,VARCHAR
membershipinfo,ChildObjectId,INTEGER
membershipinfo,ChildObjectName,VARCHAR
membershipinfo,ChildClassId,INTEGER
membershipinfo,ChildClassLangId,INTEGER
membershipinfo,ChildClassName,VARCHAR
memoobject,ColumnId,INTEGER
memoobject,ObjectId,INTEGER
memoobject,Value,VARCHAR
object,CategoryId,INTEGER
object,ClassId,INTEGER
object,Index,INTEGER
object,Name,VARCHAR
object,ObjectId,INTEGER
object,UniqueId,VARCHAR
object,Show,BOOLEAN
object,X,INTEGER
object,Y,INTEGER
object,Z,INTEGER
objectmeta,Class,VARCHAR
objectmeta,ObjectId,INTEGER
objectmeta,Property,VARCHAR
objectmeta,Value,VARCHAR
period,PeriodEpochId,BIGINT
period,EpochId,BIGINT
period,PeriodId,INTEGER
period,StartDate,TIMESTAMP
period,EndDate,TIMESTAMP
period,PeriodTypeId,INTEGER
period,OriginalPeriodId,INTEGER
phase,Period_EpochId,BIGINT
phase,IntervalId,INTEGER
phase,PeriodId,INTEGER
phase,PhaseTypeId,INTEGER
property,CollectionId,INTEGER
property,EnumId,INTEGER
property,IsMultiBand,BOOLEAN
property,IsPeriod,BOOLEAN
property,IsSummary,BOOLEAN
property,LangId,INTEGER
property,Name,VARCHAR
property,PropertyId,INTEGER
property,SummaryName,VARCHAR
property,SummaryUnitId,INTEGER
property,UnitId,INTEGER
sampleweight,PhaseId,INTEGER
sampleweight,SampleId,INTEGER
sampleweight,Value,DOUBLE
unit,LangId,INTEGER
unit,UnitId,INTEGER
unit,Value,VARCHAR
